time,date,v_l,q,n_tr,sum_b,code_azs,id,first_prch,location,region,code,code1,percent,type,month,year
09:02:58,2016-10-08,29.1,0,2016,1024.32,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,10,2016
09:03:00,2016-10-08,0.0,1,2016,31.82,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02210000,202.0,7.95,6,10,2016
09:03:02,2016-10-08,0.0,1,2016,35.45,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02240000,154.0,0.0,6,10,2016
09:03:01,2016-10-08,0.0,1,2016,31.82,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02210000,202.0,7.95,6,10,2016
18:51:55,2016-10-11,38.01,0,2016,1337.92,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,10,2016
08:49:45,2016-10-22,0.0,1,2016,59.09,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02240000,287.0,0.0,6,10,2016
08:49:44,2016-10-22,26.03,0,2016,916.16,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,10,2016
14:23:41,2016-10-22,7.61,0,2016,267.84,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,10,2016
17:23:04,2016-10-26,36.9,0,2016,1450.17,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010132,132.0,0.0,13,10,2016
14:15:04,2016-10-29,22.65,0,2016,797.44,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,7,10,2016
18:16:09,2016-11-07,0.0,1,2016,80.91,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,26.96,6,11,2016
18:16:07,2016-11-07,31.87,0,2016,1121.92,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,11,2016
18:16:08,2016-11-07,0.0,1,2016,80.91,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,26.96,6,11,2016
18:16:10,2016-11-07,0.0,1,2016,80.91,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,26.97,6,11,2016
16:57:09,2016-11-12,20.85,0,2016,734.08,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,11,2016
19:12:46,2016-11-25,0.0,1,2016,31.82,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02380000,144.0,0.0,6,11,2016
19:12:45,2016-11-25,30.96,0,2016,1096.11,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,11,2016
19:31:59,2016-12-02,25.67,0,2016,908.82,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,7,12,2016
19:04:53,2016-12-07,0.0,1,2016,80.91,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02370000,119.0,0.0,6,12,2016
19:04:52,2016-12-07,31.08,0,2016,1100.3,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,12,2016
14:49:15,2016-12-16,29.58,0,2016,1047.2,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,12,2016
14:17:46,2016-12-30,0.0,1,2016,44.55,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,02210000,202.0,0.0,6,12,2016
14:17:45,2016-12-30,32.35,0,2016,1145.03,6597.0,21-186G-1142,06.01.16 21:14:24,9.0,446.5,01010121,126.0,0.0,13,12,2016
12:45:16,2017-02-06,0.0,1,2017,95.45,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,02110000,227.0,0.0,5,2,2017
12:45:15,2017-02-06,23.61,0,2017,908.95,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,2,2017
17:48:45,2017-02-07,23.67,0,2017,909.04,14194.0,21-186G-1142,13.03.16 10:53:49,8.0,446.5,01010131,128.0,0.0,7,2,2017
07:20:50,2017-04-18,57.04,0,2017,2227.27,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,4,2017
22:05:19,2017-04-18,31.62,0,2017,1234.69,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,4,2017
05:20:37,2017-06-03,53.58,0,2017,2108.45,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,6,2017
05:23:05,2017-06-03,0.0,1,2017,95.45,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,02110000,227.0,0.0,5,6,2017
05:23:04,2017-06-03,0.0,1,2017,126.36,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,02210000,183.0,0.0,5,6,2017
05:23:03,2017-06-03,25.74,0,2017,1012.73,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,6,2017
06:33:52,2017-10-20,0.0,1,2017,59.09,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,02070000,122.0,0.0,5,10,2017
06:33:51,2017-10-20,0.0,1,2017,53.64,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,02210000,203.0,0.0,5,10,2017
06:33:50,2017-10-20,34.3,0,2017,1363.43,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,10,2017
20:02:45,2017-11-04,34.3,0,2017,1363.43,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,11,2017
10:01:19,2017-11-04,34.31,0,2017,1363.79,6597.0,21-186G-1142,13.03.16 10:53:49,9.0,446.5,01010131,128.0,0.0,7,11,2017
