,time,date,v_l,q,n_tr,sum_b,code_azs,id,first_prch,location,region,code,code1,percent,type
60,,2017-04-19,12.45,0,2017,454.26,5915.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
61,00:01:46,2017-08-02,17.72,0,2017,636.08,2546.0,21-8B2-7693,27.12.16 23:06:11,9.0,453.5,1010121,126.0,0.0,13
62,,2017-03-06,20.03,0,2017,726.99,5915.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,5
63,15:05:27,2017-07-17,25.25,0,2017,908.84,2414.0,21-8B2-7693,27.12.16 23:06:11,9.0,454.0,1010121,126.0,0.0,7
64,14:33:02,2017-11-29,46.62,0,2017,1818.11,5915.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,7
65,,2017-09-14,23.67,0,2017,909.04,5915.0,21-8B2-7693,27.12.16 23:06:11,10.0,454.5,1010121,126.0,0.0,13
66,11:19:38,2017-12-07,11.56,0,2017,454.45,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010121,126.0,0.0,13
67,,2017-08-07,40.44,0,2017,1641.72,21112.0,21-8B2-7693,04.01.17 19:51:33,9.0,450.5,1010131,128.0,0.0,13
68,15:23:54,2017-11-02,14.3,0,2017,544.83,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010121,126.0,0.0,13
69,,2017-09-19,21.8,0,2017,909.06,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,1010131,128.0,0.0,13
70,21:56:42,2017-12-25,13.3,0,2017,545.3,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,13
71,05:30:48,2017-12-08,34.79,0,2017,1454.26,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,1010131,128.0,0.0,13
72,,2017-08-09,9.11,0,2017,363.45,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,13
73,,2017-08-09,11.39,0,2017,454.5,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,454.5,2
74,13:07:53,2017-07-22,36.36,0,2017,1527.27,9147.0,21-8B2-7693,04.01.17 19:51:33,8.0,440.5,1010131,128.0,0.0,13
75,,2017-01-31,11.74,0,2017,454.2,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,13
76,05:20:56,2017-07-16,40.78,0,2017,1545.63,14402.0,21-8B2-7693,04.01.17 19:51:33,8.0,453.0,1010131,128.0,0.0,13
77,,2017-01-14,16.56,0,2017,636.05,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,5
78,,2017-01-18,35.23,0,2017,1363.3,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,13
79,,2017-07-14,48.08,0,2017,1908.85,5915.0,21-8B2-7693,04.01.17 19:51:33,10.0,454.5,1010131,128.0,0.0,13
80,,2017-09-05,0.0,1,2017,90.0,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,2250000,146.0,0.0,6
81,06:31:36,2017-11-17,0.0,1,2017,35.45,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,2240000,154.0,0.0,6
82,06:31:35,2017-11-17,0.0,1,2017,71.82,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,2210000,202.0,0.0,6
83,,2017-08-07,0.0,2,2017,198.18,21112.0,21-8B2-7693,04.01.17 19:51:33,9.0,450.5,2250000,146.0,198.18,19
84,05:16:41,2017-07-16,40.0,0,2017,1516.0,14402.0,21-8B2-7693,04.01.17 19:51:33,8.0,453.0,1010131,128.0,0.0,7
85,,2017-07-15,45.45,0,2017,1831.82,2372.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.0,1010131,128.0,0.0,13
86,13:15:41,2017-07-22,36.79,0,2017,1545.22,9147.0,21-8B2-7693,04.01.17 19:51:33,8.0,440.5,1010131,128.0,0.0,13
87,,2017-09-05,15.33,0,2017,636.08,10767.0,21-8B2-7693,04.01.17 19:51:33,9.0,454.5,1010131,128.0,0.0,13
88,14:02:58,2017-07-16,42.39,0,2017,1636.29,6170.0,21-8B2-7693,04.01.17 19:51:33,8.0,455.0,1010131,128.0,0.0,13
89,,2017-06-08,13.02,0,2017,454.34,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,5
90,15:48:05,2017-08-30,9.09,0,2017,328.18,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,7
91,,2017-06-07,8.34,0,2017,290.94,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,5
92,,2017-07-20,0.0,1,2017,59.09,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,2210000,203.0,0.0,6
93,09:44:00,2017-08-29,21.4,0,2017,772.54,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,7
94,,2017-03-27,13.29,0,2017,454.55,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,5
95,,2017-07-20,24.18,0,2017,909.24,2454.0,21-8B2-7688,10.02.17 20:53:33,9.0,455.5,1010131,128.0,0.0,13
96,19:25:34,2017-09-23,25.53,0,2017,908.77,2447.0,21-8B2-7688,10.02.17 20:53:33,10.0,455.5,1010121,126.0,0.0,7
97,,2017-07-27,4.52,0,2017,171.69,2454.0,21-8B2-7687,10.02.17 20:53:33,9.0,455.5,1010131,128.0,0.0,5
98,15:24:14,2017-08-20,12.59,0,2017,454.54,2454.0,21-8B2-7687,10.02.17 20:53:33,9.0,455.5,1010121,126.0,0.0,7
99,00:22:35,2017-08-17,37.77,0,2017,1363.59,2495.0,21-8B2-7685,10.02.17 20:53:33,9.0,453.5,1010121,126.0,0.0,13
